Start Week,End Week,MMWRyear,MMWRweek,Jurisdiction,Age Group,COVID-19 Deaths,Pneumonia Deaths,Influenza Deaths
12/29/2019,01/04/2020,2020,1,Missouri,18-64 years,0.0,17.0,
12/29/2019,01/04/2020,2020,1,Missouri,65 years and over,0.0,58.0,
12/29/2019,01/04/2020,2020,1,Montana,All Ages,0.0,15.0,
12/29/2019,01/04/2020,2020,1,Montana,0-17 years,0.0,0.0,0.0
12/29/2019,01/04/2020,2020,1,Montana,18-64 years,0.0,,0.0
12/29/2019,01/04/2020,2020,1,Montana,65 years and over,0.0,14.0,
12/29/2019,01/04/2020,2020,1,Nebraska,All Ages,0.0,24.0,
12/29/2019,01/04/2020,2020,1,Nebraska,0-17 years,0.0,0.0,
12/29/2019,01/04/2020,2020,1,Nebraska,18-64 years,0.0,,
12/29/2019,01/04/2020,2020,1,Nebraska,65 years and over,0.0,22.0,
12/29/2019,01/04/2020,2020,1,Nevada,All Ages,0.0,40.0,
12/29/2019,01/04/2020,2020,1,Nevada,0-17 years,0.0,,0.0
12/29/2019,01/04/2020,2020,1,Nevada,18-64 years,0.0,12.0,
12/29/2019,01/04/2020,2020,1,Nevada,65 years and over,0.0,27.0,
12/29/2019,01/04/2020,2020,1,New Hampshire,All Ages,0.0,18.0,
12/29/2019,01/04/2020,2020,1,New Hampshire,0-17 years,0.0,0.0,0.0
12/29/2019,01/04/2020,2020,1,New Hampshire,18-64 years,0.0,,0.0
12/29/2019,01/04/2020,2020,1,New Hampshire,65 years and over,0.0,17.0,
12/29/2019,01/04/2020,2020,1,New Jersey,All Ages,0.0,76.0,
12/29/2019,01/04/2020,2020,1,New Jersey,0-17 years,0.0,0.0,0.0
12/29/2019,01/04/2020,2020,1,New Jersey,18-64 years,0.0,15.0,
12/29/2019,01/04/2020,2020,1,New Jersey,65 years and over,0.0,61.0,
12/29/2019,01/04/2020,2020,1,New Mexico,All Ages,0.0,32.0,10.0
12/29/2019,01/04/2020,2020,1,New Mexico,0-17 years,0.0,0.0,0.0
12/29/2019,01/04/2020,2020,1,New Mexico,18-64 years,0.0,,
12/29/2019,01/04/2020,2020,1,New Mexico,65 years and over,0.0,24.0,
12/29/2019,01/04/2020,2020,1,New York,All Ages,0.0,204.0,14.0
12/29/2019,01/04/2020,2020,1,New York,0-17 years,0.0,,0.0
12/29/2019,01/04/2020,2020,1,New York,18-64 years,0.0,19.0,
12/29/2019,01/04/2020,2020,1,New York,65 years and over,0.0,184.0,
12/29/2019,01/04/2020,2020,1,New York City,All Ages,0.0,85.0,16.0
12/29/2019,01/04/2020,2020,1,New York City,0-17 years,0.0,0.0,0.0
12/29/2019,01/04/2020,2020,1,New York City,18-64 years,0.0,13.0,
12/29/2019,01/04/2020,2020,1,New York City,65 years and over,0.0,72.0,
12/29/2019,01/04/2020,2020,1,North Carolina,All Ages,0.0,125.0,
12/29/2019,01/04/2020,2020,1,North Carolina,0-17 years,0.0,0.0,
12/29/2019,01/04/2020,2020,1,North Carolina,18-64 years,0.0,20.0,
12/29/2019,01/04/2020,2020,1,North Carolina,65 years and over,0.0,105.0,
12/29/2019,01/04/2020,2020,1,North Dakota,All Ages,0.0,,
12/29/2019,01/04/2020,2020,1,North Dakota,0-17 years,0.0,0.0,0.0
12/29/2019,01/04/2020,2020,1,North Dakota,18-64 years,0.0,,0.0
12/29/2019,01/04/2020,2020,1,North Dakota,65 years and over,0.0,,
12/29/2019,01/04/2020,2020,1,Ohio,All Ages,0.0,138.0,15.0
12/29/2019,01/04/2020,2020,1,Ohio,0-17 years,0.0,,
12/29/2019,01/04/2020,2020,1,Ohio,18-64 years,0.0,24.0,
12/29/2019,01/04/2020,2020,1,Ohio,65 years and over,0.0,111.0,
12/29/2019,01/04/2020,2020,1,Oklahoma,All Ages,0.0,82.0,
12/29/2019,01/04/2020,2020,1,Oklahoma,0-17 years,0.0,,0.0
12/29/2019,01/04/2020,2020,1,Oklahoma,18-64 years,0.0,16.0,
12/29/2019,01/04/2020,2020,1,Oklahoma,65 years and over,0.0,64.0,
12/29/2019,01/04/2020,2020,1,Oregon,All Ages,0.0,42.0,11.0
12/29/2019,01/04/2020,2020,1,Oregon,0-17 years,0.0,0.0,0.0
12/29/2019,01/04/2020,2020,1,Oregon,18-64 years,0.0,,
12/29/2019,01/04/2020,2020,1,Oregon,65 years and over,0.0,36.0,
12/29/2019,01/04/2020,2020,1,Pennsylvania,All Ages,0.0,168.0,17.0
12/29/2019,01/04/2020,2020,1,Pennsylvania,0-17 years,0.0,,0.0
12/29/2019,01/04/2020,2020,1,Pennsylvania,18-64 years,0.0,26.0,
12/29/2019,01/04/2020,2020,1,Pennsylvania,65 years and over,0.0,140.0,13.0
12/29/2019,01/04/2020,2020,1,Rhode Island,All Ages,0.0,15.0,
12/29/2019,01/04/2020,2020,1,Rhode Island,0-17 years,0.0,0.0,0.0
12/29/2019,01/04/2020,2020,1,Rhode Island,18-64 years,0.0,,0.0
12/29/2019,01/04/2020,2020,1,Rhode Island,65 years and over,0.0,13.0,
12/29/2019,01/04/2020,2020,1,South Carolina,All Ages,0.0,87.0,15.0
12/29/2019,01/04/2020,2020,1,South Carolina,0-17 years,0.0,0.0,
12/29/2019,01/04/2020,2020,1,South Carolina,18-64 years,0.0,23.0,
12/29/2019,01/04/2020,2020,1,South Carolina,65 years and over,0.0,64.0,
12/29/2019,01/04/2020,2020,1,South Dakota,All Ages,0.0,17.0,
12/29/2019,01/04/2020,2020,1,South Dakota,0-17 years,0.0,0.0,0.0
12/29/2019,01/04/2020,2020,1,South Dakota,18-64 years,0.0,0.0,
12/29/2019,01/04/2020,2020,1,South Dakota,65 years and over,0.0,17.0,0.0
12/29/2019,01/04/2020,2020,1,Tennessee,All Ages,0.0,121.0,23.0
12/29/2019,01/04/2020,2020,1,Tennessee,0-17 years,0.0,,
12/29/2019,01/04/2020,2020,1,Tennessee,18-64 years,0.0,26.0,11.0
12/29/2019,01/04/2020,2020,1,Tennessee,65 years and over,0.0,93.0,11.0
12/29/2019,01/04/2020,2020,1,Texas,All Ages,0.0,306.0,42.0
12/29/2019,01/04/2020,2020,1,Texas,0-17 years,0.0,0.0,
12/29/2019,01/04/2020,2020,1,Texas,18-64 years,0.0,88.0,20.0
12/29/2019,01/04/2020,2020,1,Texas,65 years and over,0.0,218.0,21.0
12/29/2019,01/04/2020,2020,1,Utah,All Ages,0.0,23.0,
12/29/2019,01/04/2020,2020,1,Utah,0-17 years,0.0,0.0,0.0
12/29/2019,01/04/2020,2020,1,Utah,18-64 years,0.0,,
12/29/2019,01/04/2020,2020,1,Utah,65 years and over,0.0,18.0,0.0
12/29/2019,01/04/2020,2020,1,Vermont,All Ages,0.0,,0.0
12/29/2019,01/04/2020,2020,1,Vermont,0-17 years,0.0,0.0,0.0
12/29/2019,01/04/2020,2020,1,Vermont,18-64 years,0.0,,0.0
12/29/2019,01/04/2020,2020,1,Vermont,65 years and over,0.0,,0.0
12/29/2019,01/04/2020,2020,1,Virginia,All Ages,0.0,82.0,
12/29/2019,01/04/2020,2020,1,Virginia,0-17 years,0.0,0.0,0.0
12/29/2019,01/04/2020,2020,1,Virginia,18-64 years,0.0,14.0,
12/29/2019,01/04/2020,2020,1,Virginia,65 years and over,0.0,68.0,
12/29/2019,01/04/2020,2020,1,Washington,All Ages,0.0,80.0,11.0
12/29/2019,01/04/2020,2020,1,Washington,0-17 years,0.0,0.0,
12/29/2019,01/04/2020,2020,1,Washington,18-64 years,0.0,17.0,
12/29/2019,01/04/2020,2020,1,Washington,65 years and over,0.0,63.0,
12/29/2019,01/04/2020,2020,1,West Virginia,All Ages,0.0,44.0,
12/29/2019,01/04/2020,2020,1,West Virginia,0-17 years,0.0,0.0,0.0
12/29/2019,01/04/2020,2020,1,West Virginia,18-64 years,0.0,,
12/29/2019,01/04/2020,2020,1,West Virginia,65 years and over,0.0,35.0,
12/29/2019,01/04/2020,2020,1,Wisconsin,All Ages,0.0,63.0,
12/29/2019,01/04/2020,2020,1,Wisconsin,0-17 years,0.0,0.0,0.0
12/29/2019,01/04/2020,2020,1,Wisconsin,18-64 years,0.0,,
12/29/2019,01/04/2020,2020,1,Wisconsin,65 years and over,0.0,57.0,
12/29/2019,01/04/2020,2020,1,Wyoming,All Ages,0.0,,
12/29/2019,01/04/2020,2020,1,Wyoming,0-17 years,0.0,0.0,0.0
12/29/2019,01/04/2020,2020,1,Wyoming,18-64 years,0.0,,
12/29/2019,01/04/2020,2020,1,Wyoming,65 years and over,0.0,,
12/29/2019,01/04/2020,2020,1,HHS Region 1,All Ages,0.0,187.0,
12/29/2019,01/04/2020,2020,1,HHS Region 1,0-17 years,0.0,0.0,0.0
12/29/2019,01/04/2020,2020,1,HHS Region 1,18-64 years,0.0,21.0,
12/29/2019,01/04/2020,2020,1,HHS Region 1,65 years and over,0.0,166.0,
12/29/2019,01/04/2020,2020,1,HHS Region 2,All Ages,0.0,365.0,36.0
12/29/2019,01/04/2020,2020,1,HHS Region 2,0-17 years,0.0,,0.0
12/29/2019,01/04/2020,2020,1,HHS Region 2,18-64 years,0.0,47.0,17.0
12/29/2019,01/04/2020,2020,1,HHS Region 2,65 years and over,0.0,317.0,19.0
12/29/2019,01/04/2020,2020,1,HHS Region 3,All Ages,0.0,402.0,40.0
12/29/2019,01/04/2020,2020,1,HHS Region 3,0-17 years,0.0,,
12/29/2019,01/04/2020,2020,1,HHS Region 3,18-64 years,0.0,77.0,15.0
12/29/2019,01/04/2020,2020,1,HHS Region 3,65 years and over,0.0,323.0,24.0
12/29/2019,01/04/2020,2020,1,HHS Region 4,All Ages,0.0,912.0,117.0
12/29/2019,01/04/2020,2020,1,HHS Region 4,0-17 years,0.0,,
12/29/2019,01/04/2020,2020,1,HHS Region 4,18-64 years,0.0,187.0,50.0
12/29/2019,01/04/2020,2020,1,HHS Region 4,65 years and over,0.0,723.0,60.0
12/29/2019,01/04/2020,2020,1,HHS Region 5,All Ages,0.0,642.0,53.0
12/29/2019,01/04/2020,2020,1,HHS Region 5,0-17 years,0.0,,
12/29/2019,01/04/2020,2020,1,HHS Region 5,18-64 years,0.0,109.0,21.0
12/29/2019,01/04/2020,2020,1,HHS Region 5,65 years and over,0.0,527.0,25.0
12/29/2019,01/04/2020,2020,1,HHS Region 6,All Ages,0.0,530.0,68.0
12/29/2019,01/04/2020,2020,1,HHS Region 6,0-17 years,0.0,,
12/29/2019,01/04/2020,2020,1,HHS Region 6,18-64 years,0.0,134.0,34.0
12/29/2019,01/04/2020,2020,1,HHS Region 6,65 years and over,0.0,394.0,32.0
12/29/2019,01/04/2020,2020,1,HHS Region 7,All Ages,0.0,187.0,23.0
12/29/2019,01/04/2020,2020,1,HHS Region 7,0-17 years,0.0,,
12/29/2019,01/04/2020,2020,1,HHS Region 7,18-64 years,0.0,31.0,
12/29/2019,01/04/2020,2020,1,HHS Region 7,65 years and over,0.0,154.0,16.0
12/29/2019,01/04/2020,2020,1,HHS Region 8,All Ages,0.0,118.0,11.0
12/29/2019,01/04/2020,2020,1,HHS Region 8,0-17 years,0.0,0.0,0.0
12/29/2019,01/04/2020,2020,1,HHS Region 8,18-64 years,0.0,23.0,
12/29/2019,01/04/2020,2020,1,HHS Region 8,65 years and over,0.0,95.0,
12/29/2019,01/04/2020,2020,1,HHS Region 9,All Ages,0.0,614.0,52.0
12/29/2019,01/04/2020,2020,1,HHS Region 9,0-17 years,0.0,,
12/29/2019,01/04/2020,2020,1,HHS Region 9,18-64 years,0.0,111.0,20.0
12/29/2019,01/04/2020,2020,1,HHS Region 9,65 years and over,0.0,500.0,31.0
12/29/2019,01/04/2020,2020,1,HHS Region 10,All Ages,0.0,145.0,25.0
12/29/2019,01/04/2020,2020,1,HHS Region 10,0-17 years,0.0,,
12/29/2019,01/04/2020,2020,1,HHS Region 10,18-64 years,0.0,27.0,11.0
12/29/2019,01/04/2020,2020,1,HHS Region 10,65 years and over,0.0,117.0,12.0
01/05/2020,01/11/2020,2020,2,United States,All Ages,1.0,4137.0,472.0
01/05/2020,01/11/2020,2020,2,United States,0-17 years,0.0,25.0,14.0
01/05/2020,01/11/2020,2020,2,United States,18-64 years,0.0,756.0,186.0
01/05/2020,01/11/2020,2020,2,United States,65 years and over,1.0,3356.0,272.0
01/05/2020,01/11/2020,2020,2,Alabama,All Ages,0.0,83.0,
01/05/2020,01/11/2020,2020,2,Alabama,0-17 years,0.0,0.0,
01/05/2020,01/11/2020,2020,2,Alabama,18-64 years,0.0,14.0,
01/05/2020,01/11/2020,2020,2,Alabama,65 years and over,0.0,69.0,
01/05/2020,01/11/2020,2020,2,Alaska,All Ages,0.0,,0.0
01/05/2020,01/11/2020,2020,2,Alaska,0-17 years,0.0,0.0,0.0
01/05/2020,01/11/2020,2020,2,Alaska,18-64 years,0.0,,0.0
01/05/2020,01/11/2020,2020,2,Alaska,65 years and over,0.0,,0.0
01/05/2020,01/11/2020,2020,2,Arizona,All Ages,0.0,86.0,
01/05/2020,01/11/2020,2020,2,Arizona,0-17 years,0.0,,0.0
01/05/2020,01/11/2020,2020,2,Arizona,18-64 years,0.0,23.0,
01/05/2020,01/11/2020,2020,2,Arizona,65 years and over,0.0,62.0,
01/05/2020,01/11/2020,2020,2,Arkansas,All Ages,0.0,54.0,
01/05/2020,01/11/2020,2020,2,Arkansas,0-17 years,0.0,0.0,0.0
01/05/2020,01/11/2020,2020,2,Arkansas,18-64 years,0.0,,
01/05/2020,01/11/2020,2020,2,Arkansas,65 years and over,0.0,45.0,
01/05/2020,01/11/2020,2020,2,California,All Ages,0.0,427.0,52.0
01/05/2020,01/11/2020,2020,2,California,0-17 years,0.0,,
01/05/2020,01/11/2020,2020,2,California,18-64 years,0.0,87.0,19.0
01/05/2020,01/11/2020,2020,2,California,65 years and over,0.0,336.0,32.0
01/05/2020,01/11/2020,2020,2,Colorado,All Ages,0.0,51.0,
01/05/2020,01/11/2020,2020,2,Colorado,0-17 years,0.0,0.0,0.0
01/05/2020,01/11/2020,2020,2,Colorado,18-64 years,0.0,14.0,
01/05/2020,01/11/2020,2020,2,Colorado,65 years and over,0.0,37.0,
01/05/2020,01/11/2020,2020,2,Connecticut,All Ages,0.0,48.0,
01/05/2020,01/11/2020,2020,2,Connecticut,0-17 years,0.0,,0.0
01/05/2020,01/11/2020,2020,2,Connecticut,18-64 years,0.0,,
01/05/2020,01/11/2020,2020,2,Connecticut,65 years and over,0.0,39.0,
01/05/2020,01/11/2020,2020,2,Delaware,All Ages,0.0,,
01/05/2020,01/11/2020,2020,2,Delaware,0-17 years,0.0,0.0,0.0
01/05/2020,01/11/2020,2020,2,Delaware,18-64 years,0.0,,0.0
01/05/2020,01/11/2020,2020,2,Delaware,65 years and over,0.0,,
01/05/2020,01/11/2020,2020,2,District of Columbia,All Ages,0.0,,0.0
01/05/2020,01/11/2020,2020,2,District of Columbia,0-17 years,0.0,0.0,0.0
01/05/2020,01/11/2020,2020,2,District of Columbia,18-64 years,0.0,,0.0
01/05/2020,01/11/2020,2020,2,District of Columbia,65 years and over,0.0,,0.0
01/05/2020,01/11/2020,2020,2,Florida,All Ages,0.0,262.0,27.0
01/05/2020,01/11/2020,2020,2,Florida,0-17 years,0.0,,
01/05/2020,01/11/2020,2020,2,Florida,18-64 years,0.0,36.0,11.0
01/05/2020,01/11/2020,2020,2,Florida,65 years and over,0.0,225.0,14.0
01/05/2020,01/11/2020,2020,2,Georgia,All Ages,0.0,99.0,26.0
01/05/2020,01/11/2020,2020,2,Georgia,0-17 years,0.0,,0.0
01/05/2020,01/11/2020,2020,2,Georgia,18-64 years,0.0,26.0,15.0
01/05/2020,01/11/2020,2020,2,Georgia,65 years and over,0.0,71.0,11.0
01/05/2020,01/11/2020,2020,2,Hawaii,All Ages,0.0,18.0,
01/05/2020,01/11/2020,2020,2,Hawaii,0-17 years,0.0,0.0,0.0
01/05/2020,01/11/2020,2020,2,Hawaii,18-64 years,0.0,,0.0
01/05/2020,01/11/2020,2020,2,Hawaii,65 years and over,0.0,14.0,
01/05/2020,01/11/2020,2020,2,Idaho,All Ages,0.0,16.0,
01/05/2020,01/11/2020,2020,2,Idaho,0-17 years,0.0,,
01/05/2020,01/11/2020,2020,2,Idaho,18-64 years,0.0,,
01/05/2020,01/11/2020,2020,2,Idaho,65 years and over,0.0,12.0,0.0
01/05/2020,01/11/2020,2020,2,Illinois,All Ages,0.0,158.0,13.0
01/05/2020,01/11/2020,2020,2,Illinois,0-17 years,0.0,,0.0
01/05/2020,01/11/2020,2020,2,Illinois,18-64 years,0.0,28.0,
01/05/2020,01/11/2020,2020,2,Illinois,65 years and over,0.0,129.0,11.0
01/05/2020,01/11/2020,2020,2,Indiana,All Ages,0.0,107.0,13.0
01/05/2020,01/11/2020,2020,2,Indiana,0-17 years,0.0,0.0,0.0
01/05/2020,01/11/2020,2020,2,Indiana,18-64 years,0.0,17.0,
01/05/2020,01/11/2020,2020,2,Indiana,65 years and over,0.0,90.0,10.0
01/05/2020,01/11/2020,2020,2,Iowa,All Ages,0.0,48.0,
01/05/2020,01/11/2020,2020,2,Iowa,0-17 years,0.0,0.0,0.0
01/05/2020,01/11/2020,2020,2,Iowa,18-64 years,0.0,,0.0
01/05/2020,01/11/2020,2020,2,Iowa,65 years and over,0.0,45.0,
01/05/2020,01/11/2020,2020,2,Kansas,All Ages,,42.0,
01/05/2020,01/11/2020,2020,2,Kansas,0-17 years,0.0,0.0,0.0
01/05/2020,01/11/2020,2020,2,Kansas,18-64 years,0.0,,
01/05/2020,01/11/2020,2020,2,Kansas,65 years and over,,37.0,
01/05/2020,01/11/2020,2020,2,Kentucky,All Ages,0.0,101.0,
01/05/2020,01/11/2020,2020,2,Kentucky,0-17 years,0.0,,0.0
01/05/2020,01/11/2020,2020,2,Kentucky,18-64 years,0.0,18.0,
01/05/2020,01/11/2020,2020,2,Kentucky,65 years and over,0.0,82.0,0.0
01/05/2020,01/11/2020,2020,2,Louisiana,All Ages,0.0,60.0,
01/05/2020,01/11/2020,2020,2,Louisiana,0-17 years,0.0,,0.0
01/05/2020,01/11/2020,2020,2,Louisiana,18-64 years,0.0,10.0,
01/05/2020,01/11/2020,2020,2,Louisiana,65 years and over,0.0,49.0,
01/05/2020,01/11/2020,2020,2,Maine,All Ages,0.0,20.0,
01/05/2020,01/11/2020,2020,2,Maine,0-17 years,0.0,0.0,0.0
01/05/2020,01/11/2020,2020,2,Maine,18-64 years,0.0,,0.0
01/05/2020,01/11/2020,2020,2,Maine,65 years and over,0.0,19.0,
01/05/2020,01/11/2020,2020,2,Maryland,All Ages,0.0,86.0,
01/05/2020,01/11/2020,2020,2,Maryland,0-17 years,0.0,,0.0
01/05/2020,01/11/2020,2020,2,Maryland,18-64 years,0.0,15.0,
01/05/2020,01/11/2020,2020,2,Maryland,65 years and over,0.0,69.0,
01/05/2020,01/11/2020,2020,2,Massachusetts,All Ages,0.0,70.0,
01/05/2020,01/11/2020,2020,2,Massachusetts,0-17 years,0.0,0.0,0.0
01/05/2020,01/11/2020,2020,2,Massachusetts,18-64 years,0.0,,
01/05/2020,01/11/2020,2020,2,Massachusetts,65 years and over,0.0,65.0,
